identifier,score,category,Domain Analysis For,Google PageRank,cPR Score,Domain Authority,Page Authority,Trust Flow,Trust Metric,Global Rank,Alexa USA Rank,Alexa Reach Rank,Spam Score,External Backlinks,Referring Domains,EDU Backlinks,EDU Domains,GOV Backlinks,GOV Domains,PR Quality,Canonical URL,Topic,Topic Value,Indexed URLs,Citation Flow
addictinginfo.com,29.5,Left,addictinginfo.com,5,5.5,63,38,39,39,571942,298897,522671,2,247114,3671,92,16,0,0,Very Strong,addictinginfo.com/,News/Media Industry,39,40369,45
advocate.com,87.5,Left,advocate.com,7,7.5,82,57,57,57,,,,1,2060747,25100,2611,396,87,23,Very Strong,advocate.com/,Society/Gay  Lesbian  and Bisexual,57,240200,59
alternet.org,87.5,Left,alternet.org,7,8,85,64,33,33,16488,3691,15740,1,10223279,53956,6430,530,95,32,Very Strong,alternet.org/,Society/Issues,28,362737,50
bluestatedaily.com,44.5,Left,bluestatedaily.com,3,3.7,38,30,9,9,2482865,594365,2070996,0,13958,323,58,1,0,0,Moderate,bluestatedaily.com/,News/Newspapers,9,20586,26
boingboing.net,62,Left,boingboing.net,8,8.7,88,73,72,72,5474,1591,4847,1,32364740,83800,20726,523,76,26,Very Strong,boingboing.net/,Arts/Literature,71,866817,66
carbonated.tv,70,Left,carbonated.tv,6,5.9,66,44,16,16,3558764,,3008074,1,42848,3487,314,20,2,1,Very Strong,carbonated.tv/,Society/Politics,14,122544,39
americanprogress.org,100,Left,americanprogress.org,7,7.5,82,57,67,67,,,,1,5301903,34133,5421,603,2760,127,Very Strong,americanprogress.org/,Society/Politics,66,3227769,62
chicagoreader.com,80,Left,chicagoreader.com,6,6.8,73,53,58,58,61647,13174,50554,1,2783445,17839,3975,169,73,12,Very Strong,chicagoreader.com/,News/Alternative,56,2892086,57
cnn.com,100,Left,cnn.com,9,9.5,95,80,87,87,,,,1,352482223,681475,1287934,4248,2065788,838,Very Strong,cnn.com/,Arts/Television,77,10966338,86
commondreams.org,87.5,Left,commondreams.org,7,7.8,84,61,69,69,18487,4312,14729,1,9840709,40074,13872,492,93,19,Very Strong,commondreams.org/,News/Breaking News,68,578924,69
cosmopolitan.com,95,Left,cosmopolitan.com,8,8.3,,,,,1744,893,1294,1,,,,,,,,cosmopolitan.com/,,,,
counterpunch.org,80,Left,counterpunch.org,7,7.5,79,60,68,68,39580,12792,35459,0,5560949,31458,5144,399,26,12,Very Strong,counterpunch.org/,News/Media Industry,67,424180,67
crooksandliars.com,82.5,Left,crooksandliars.com,7,7.6,78,62,60,60,21526,4385,21316,1,5177914,16354,2576,117,27,9,Very Strong,crooksandliars.com/,News/Media Industry,60,660170,65
thedailybeast.com,100,Left,thedailybeast.com,8,8.5,92,65,48,48,1514,346,1204,1,20608673,124164,18627,851,3029,101,Very Strong,thedailybeast.com/,News/Breaking News,38,698253,72
dailydot.com,90,Left,dailydot.com,8,8.1,88,62,36,36,5505,1674,4033,4,3182140,47800,2097,345,53,15,Very Strong,dailydot.com/,Computers/News and Media,29,301932,62
dailykos.com,52,Left,dailykos.com,7,7.9,81,66,46,46,,,,1,14322831,51671,11963,525,206,55,Very Strong,dailykos.com/,Society/Politics,44,436217,48
dctribune.org,32,Left,dctribune.org,3,3.4,34,29,16,16,153956,30682,145173,4,36815,180,0,0,0,0,Moderate,dctribune.org/,News/Media Industry,16,5321,25
deadspin.com,90,Left,deadspin.com,8,8.1,84,66,51,51,,,,1,7978727,40725,9524,205,5,1,Very Strong,deadspin.com/,Sports/Resources,51,714694,62
deadstate.org,100,Left,deadstate.org,5,5.5,57,44,19,19,107941,25363,84681,1,29583,2092,9,2,0,0,Very Strong,deadstate.org/,Computers/Data Formats,16,39910,41
democracynow.org,82.5,Left,democracynow.org,7,8,84,64,75,75,19882,4759,17338,0,8647840,39734,9935,512,109,17,Very Strong,democracynow.org/,Arts/Radio,73,218596,68
elitedaily.com,92.5,Left,elitedaily.com,7,8,87,62,37,37,5407,1801,4054,1,3737121,38315,1021,210,34,10,Very Strong,elitedaily.com/,Arts/Music,31,236847,63
esquire.com,100,Left,esquire.com,8,8.1,89,61,69,69,2594,1011,1924,1,7311078,73303,3624,421,77,22,Very Strong,esquire.com/,Society/People,68,626542,66
frnewsreport.com,70,Left,frnewsreport.com,1,1.4,13,13,4,4,7988205,,6972965,0,36,8,0,0,0,0,Very Weak,frnewsreport.com/,Science/Science in Society,4,309,10
gizmodo.com,75,Left,gizmodo.com,8,9.1,93,75,60,60,630,178,529,1,33109681,192871,42224,1098,920,94,Very Strong,gizmodo.com/,Home/Consumer Information,56,2048625,74
good.is,70,Left,good.is,7,7.5,80,59,62,62,25471,6430,19258,1,3249010,31177,5234,371,2275,22,Very Strong,good.is/,News/Magazines and E-zines,62,115772,52
gq.com,82.5,Left,gq.com,8,8.2,,,,,4144,1117,3436,1,,,,,,,,gq.com/,,,,
theguardiansofdemocracy.com,57.5,Left,theguardiansofdemocracy.com,4,3.9,40,33,8,8,308222,72743,251922,1,6337,316,1,1,0,0,Moderate,theguardiansofdemocracy.com/,Society/Religion and Spirituality,8,13478,29
hillreporter.com,100,Left,hillreporter.com,5,5.3,56,42,22,22,59241,11472,52575,1,68057,2124,12,6,3,1,Very Strong,hillreporter.com/,Business/Industrial Goods and Services,20,17268,42
huffingtonpost.com,87.5,Left,huffingtonpost.com,8,9.1,94,75,68,68,503,208,409,1,142256269,582589,222178,3073,11209,453,Very Strong,huffingtonpost.com/,News,55,5178193,75
hrc.org,87.5,Left,hrc.org,7,7.3,78,58,70,70,62516,11453,54206,1,1606678,27903,8377,936,565,102,Very Strong,hrc.org/,Society/Gay  Lesbian  and Bisexual,70,822240,59
inthesetimes.com,100,Left,inthesetimes.com,7,7,72,58,58,58,130745,29233,106697,1,2924477,17755,2375,274,43,8,Very Strong,inthesetimes.com/,Society/Politics,58,270640,54
jezebel.com,87.5,Left,jezebel.com,8,8.3,86,68,34,34,3396,756,3051,2,7786411,49558,6801,329,22,7,Very Strong,jezebel.com/,Society/People,27,938939,62
latest.com,39.5,Left,latest.com,5,5.3,58,41,10,10,269868,563693,325863,1,5650,1033,1,1,0,0,Very Strong,latest.com/,Society/Politics,10,32865,30
lgbtqnation.com,77.5,Left,lgbtqnation.com,6,6.6,73,49,53,53,,,,1,2345889,9294,637,103,20,7,Very Strong,lgbtqnation.com/,Society/Gay  Lesbian  and Bisexual,53,355516,60
samuel-warde.com,25,Left,samuel-warde.com,5,5.4,56,44,22,22,3351284,,3014669,1,41109,1825,27,6,0,0,Very Strong,samuel-warde.com/,Society/Sexuality,21,36001,33
mashable.com,62.5,Left,mashable.com,9,9.2,93,77,75,75,,,,1,181873564,228302,34637,1370,2112,155,Very Strong,mashable.com/,Computers/Internet/News and Media,73,3613897,88
mediaite.com,82.5,Left,mediaite.com,7,7.4,81,56,39,39,6707,1274,5897,1,7310330,31517,733,127,39,8,Very Strong,mediaite.com/,News/Breaking News,37,920142,70
mediamatters.org,70,Left,mediamatters.org,7,7.9,80,66,65,65,38550,5392,32861,1,13125432,28690,3326,353,69,16,Very Strong,mediamatters.org/,News/Media Industry,65,617613,66
miaminewtimes.com,100,Left,miaminewtimes.com,7,7.4,82,55,35,35,50965,9990,42369,1,1281449,27150,1404,131,80,9,Very Strong,miaminewtimes.com/,News/Newspapers,32,459716,51
middleeastmonitor.com,40,Left,middleeastmonitor.com,6,7,80,49,32,32,63508,36302,54708,1,838834,12567,1086,90,396,11,Very Strong,middleeastmonitor.com/,Society/Issues,29,104050,60
newrepublic.com,100,Left,newrepublic.com,7,7.8,85,60,57,57,20039,4321,14817,1,4364107,50302,9669,640,2508,35,Very Strong,newrepublic.com/,News/Analysis and Opinion,55,333460,65
nymag.com,75,Left,nymag.com,8,8.7,89,72,51,51,2363,569,1822,1,31015706,129233,14596,779,395,47,Very Strong,nymag.com/,Science/Social Sciences,37,1422852,67
newyorker.com,100,Left,newyorker.com,8,8.6,92,67,79,79,1904,479,1455,1,23680304,192930,88003,1630,4331,150,Very Strong,newyorker.com/,Arts/Literature,76,1698112,78
newsweek.com,100,Left,newsweek.com,8,8.6,93,66,71,71,1801,585,1227,1,12628012,156981,194216,1494,5217,201,Very Strong,newsweek.com/,News/Magazines and E-zines,71,675604,75
onegreenplanet.org,80,Left,onegreenplanet.org,7,7.1,,,,,28225,10059,23502,1,,,,,,,,onegreenplanet.org/,,,,
palmerreport.com,25,Left,palmerreport.com,5,5.5,60,41,18,18,17401,3265,19404,1,105364,1875,16,5,1,1,Very Strong,palmerreport.com/,Society/People,16,196289,43
pastemagazine.com,75,Left,pastemagazine.com,7,7.8,86,58,57,57,6169,1984,4589,1,2470270,39250,4354,246,80,17,Very Strong,pastemagazine.com/,Arts/Music,57,366443,53
people.com,75,Left,people.com,8,8.7,91,70,46,46,1182,289,1004,1,13617759,110397,41894,522,248,54,Very Strong,people.com/,Arts/Entertainment,33,12559688,72
politicaldig.com,39.5,Left,politicaldig.com,4,4.3,44,36,13,13,704436,417929,800135,0,6919,527,0,0,0,0,Strong,politicaldig.com/,Society/History,12,55738,33
politicususa.com,77.5,Left,politicususa.com,6,6.7,75,49,22,22,,2400,14362,1,1423731,9808,587,55,29,4,Very Strong,politicususa.com/,Society/Issues,19,272920,54
queerty.com,77.5,Left,queerty.com,6,6.9,74,53,44,44,20161,4976,19807,1,1388268,10385,236,57,1,1,Very Strong,queerty.com/,Society/Gay  Lesbian  and Bisexual,44,261215,49
rawstory.com,87.5,Left,rawstory.com,7,8,85,64,59,59,5508,1269,5659,0,6729723,42475,2175,288,54,12,Very Strong,rawstory.com/,News/Headline Links,59,646580,62
rewire.news,92.5,Left,rewire.news,6,6.5,71,50,52,52,101511,19174,81178,0,1065094,11866,1568,152,81,8,Very Strong,rewire.news/,Health/Reproductive Health,50,125594,61
salon.com,82.5,Left,salon.com,8,8.6,91,69,70,70,4980,1277,4163,1,17109434,119644,34603,1087,462,65,Very Strong,salon.com/,Arts/Online Writing,69,707657,63
scarymommy.com,87.5,Left,scarymommy.com,6,7,75,54,60,60,15737,4435,11967,1,1956451,15740,195,50,9,3,Very Strong,scarymommy.com/,Home/Family,60,396780,57
secondnexus.com,87.5,Left,secondnexus.com,5,5.4,58,42,19,19,41058,11100,33017,0,41725,2289,15,7,0,0,Very Strong,secondnexus.com/,Arts/Radio,18,65461,39
shareblue.com,34.5,Left,shareblue.com,5,5.9,61,48,24,24,100785,25577,86957,1,309871,2811,8,5,17,1,Very Strong,shareblue.com/,Recreation/Humor,23,33908,53
slate.com,100,Left,slate.com,8,8.7,92,70,76,76,3129,836,2514,1,20334897,181203,45169,1405,1236,133,Very Strong,slate.com/,Society/Politics,75,1190652,84
splinternews.com,80,Left,splinternews.com,6,6.9,75,52,29,29,6588,1308,6014,1,3477286,19285,759,173,23,8,Very Strong,splinternews.com/,News/Media Industry,24,123074,58
talkingpointsmemo.com,87.5,Left,talkingpointsmemo.com,7,7.9,80,66,65,65,7588,1540,6780,1,10667407,36647,8132,330,762,15,Very Strong,talkingpointsmemo.com/,News/Media Industry,65,849585,69
prospect.org,92.5,Left,prospect.org,7,7.2,74,59,32,32,91391,17546,70381,1,2667103,22755,7385,405,2337,25,Very Strong,prospect.org/,Society/Politics,26,212685,48
austinchronicle.com,92.5,Left,austinchronicle.com,7,7.1,78,54,61,61,52196,8680,45844,1,7388737,19784,6510,181,124,9,Very Strong,austinchronicle.com/,News/Newspapers,58,2726128,60
thedailybanter.com,59.5,Left,thedailybanter.com,6,6,65,47,19,19,513874,214364,437111,1,320917,3712,64,12,1,1,Very Strong,thedailybanter.com/,Society/Politics,17,288116,47
dworkinreport.com,57,Left,dworkinreport.com,3,3.6,38,29,8,8,987478,,818606,0,3278,170,0,0,0,0,Moderate,dworkinreport.com/,Computers/Internet/On the Web,7,184,12
thegrio.com,100,Left,thegrio.com,7,7.1,74,57,25,25,65702,14353,51842,1,1863338,14781,657,149,112,14,Very Strong,thegrio.com/,Arts/Music,22,121640,57
theintercept.com,87.5,Left,theintercept.com,8,8.2,88,64,45,45,9331,2534,6977,1,9531003,50114,3758,340,2300,21,Very Strong,theintercept.com/,Society/Activism,36,326711,68
themarysue.com,75,Left,themarysue.com,7,7.5,85,54,28,28,24641,6547,20202,1,1182393,24387,463,159,11,5,Very Strong,themarysue.com/,Society/People,23,397427,60
thenation.com,80,Left,thenation.com,7,8,86,62,73,73,19259,3835,14857,1,9525009,62040,18416,807,309,47,Very Strong,thenation.com/,Society/Politics,72,299259,67
thenewcivilrightsmovement.com,77.5,Left,thenewcivilrightsmovement.com,6,6.6,71,51,25,25,246474,56134,206963,1,463847,6284,869,40,5,1,Very Strong,thenewcivilrightsmovement.com/,Society/Gay  Lesbian  and Bisexual,24,62191,43
theroot.com,80,Left,theroot.com,7,7.5,82,57,47,47,4807,1193,3961,1,5233180,27749,2852,323,211,14,Very Strong,theroot.com/,News/Magazines and E-zines,46,346718,60
texasobserver.org,100,Left,texasobserver.org,6,6.6,71,51,41,41,174009,31475,141204,0,1160391,10297,1125,131,88,6,Very Strong,texasobserver.org/,News/Magazines and E-zines,40,65616,51
theweek.com,100,Left,theweek.com,7,7.9,83,63,60,60,7617,1682,6221,1,4635038,46658,4493,409,104,32,Very Strong,theweek.com/,News/Magazines and E-zines,59,787138,67
thinkprogress.org,90,Left,thinkprogress.org,8,8.2,84,68,58,58,12301,2494,9264,1,34917240,63952,58730,546,714,62,Very Strong,thinkprogress.org/,Society/Issues,55,771000,72
truthdig.com,80,Left,truthdig.com,7,7.1,75,57,63,63,50275,13904,43843,1,3651672,18181,2643,171,12,5,Very Strong,truthdig.com/,News/Analysis and Opinion,62,435360,63
truthout.org,100,Left,truthout.org,7,7.2,76,58,53,53,49389,10548,41570,0,9317431,22147,2849,300,28,10,Very Strong,truthout.org/,Society/Politics,51,347253,58
uproxx.com,87.5,Left,uproxx.com,7,8,87,62,42,42,5642,1461,4915,0,4272205,39351,1939,121,30,8,Very Strong,uproxx.com/,Arts/Entertainment,40,428050,56
upworthy.com,80,Left,upworthy.com,7,7.5,81,57,28,28,13081,2901,10631,2,782492,26460,1289,269,64,13,Very Strong,upworthy.com/,Business/Marketing and Advertising,23,95882,51
vanityfair.com,95,Left,vanityfair.com,8,8.3,90,64,49,49,3807,986,2834,1,7220463,101091,9456,591,110,30,Very Strong,vanityfair.com/,Arts/Design,33,226565,62
vox.com,100,Left,vox.com,8,8.7,92,69,53,53,1082,282,837,1,19599021,137227,37280,1100,4248,118,Very Strong,vox.com/,Society/Subcultures,40,691277,77
washingtondailywire.com,29.5,Left,washingtondailywire.com,2,2.2,20,21,6,6,2353931,,1934531,0,642,55,0,0,0,0,Weak,washingtondailywire.com/,Society/Issues,5,1037,13
washingtonmonthly.com,100,Left,washingtonmonthly.com,7,7.1,74,58,62,62,91750,22571,72762,0,5542448,18692,436273,644,53,19,Very Strong,washingtonmonthly.com/,News/Analysis and Opinion,61,411360,62
washingtonpress.com,34.5,Left,washingtonpress.com,5,4.9,52,39,16,16,48775,12567,46705,2,120871,826,6,5,0,0,Strong,washingtonpress.com/,Society/Politics,14,8168,35
washingtonsources.org,7.5,Left,washingtonsources.org,3,3.1,32,25,5,5,5984880,,6251004,1,3468,93,0,0,0,0,Weak,washingtonsources.org/,Science/Science in Society,5,6953,15
wonkette.com,72.5,Left,wonkette.com,7,7.2,73,61,31,31,47719,13182,49975,1,2672110,11228,429,93,0,0,Very Strong,wonkette.com/,Society/Politics,28,140923,58
yourblackworld.net,57.5,Left,yourblackworld.net,5,5.7,60,46,14,14,644186,257063,541014,1,81336,2020,30,15,0,0,Very Strong,yourblackworld.net/,Society/Politics,13,10389,24
abc11.com,95,Left Center,abc11.com,6,7,74,55,46,46,37394,7022,31418,2,388688,13887,779,62,315,27,Very Strong,abc11.com/,News/Media Industry,46,373857,55
abcnews.go.com,82.5,Left Center,abcnews.go.com,9,9.2,93,77,86,86,1468,352,1130,1,51792643,264312,82998,1839,10477,273,Very Strong,abcnews.go.com/,News,82,1499469,86
abovethelaw.com,82.5,Left Center,abovethelaw.com,7,7.3,76,60,30,30,25645,4375,23560,0,1846702,16848,4647,245,19,8,Very Strong,abovethelaw.com/,Society/Law,29,49163,43
